1,1,172.00,197.00,85.00,85.00,1,6
2,1,171.12,194.88,84.76,84.24,1,11
3,1,172.48,192.67,85.69,86.49,1,16
50,3,632.85,238.10,118.59,126.16,1,251
51,3,606.40,237.22,108.55,118.65,1,256
51,2,394.62,254.94,114.55,113.76,1,256
52,3,581.41,232.46,103.16,110.48,1,261
52,2,388.43,228.03,103.92,105.31,1,261
53,3,568.91,218.57,95.70,104.54,1,266
53,2,372.92,215.14,97.52,97.84,1,266
54,3,560.13,210.95,92.95,100.74,1,271
54,2,360.15,205.27,92.49,92.43,1,271
55,3,564.82,210.03,91.09,99.50,1,276
55,2,343.66,196.41,85.52,86.58,1,276
56,3,601.13,208.12,91.07,100.24,1,281
56,2,326.47,195.74,81.49,83.02,1,281
57,2,304.28,192.45,80.69,82.30,1,286
58,2,272.25,196.13,79.71,81.87,1,291
59,2,236.79,207.01,81.77,83.38,1,296
60,4,773.23,217.50,80.69,87.22,1,301
60,2,215.03,210.36,81.79,84.45,1,301
61,4,790.07,212.15,68.64,77.71,1,306
61,2,205.05,211.41,81.02,85.44,1,306
62,4,808.04,210.42,52.87,67.33,1,311
62,2,203.97,211.14,81.49,86.50,1,311
63,4,820.94,214.27,38.52,54.23,1,316
63,2,214.41,200.46,83.09,91.54,1,316
64,2,239.06,201.29,81.58,90.83,1,321
65,2,273.51,200.81,83.53,92.68,1,326
66,2,301.68,199.60,86.12,93.90,1,331
67,2,321.62,208.63,87.22,92.84,1,336
68,2,352.82,221.68,88.29,91.22,1,341
69,2,374.02,237.29,93.46,93.07,1,346
70,2,383.03,256.57,95.22,94.68,1,351
71,2,368.79,291.34,100.13,99.23,1,356
72,2,352.13,308.33,105.94,103.00,1,361
73,2,347.04,307.19,109.41,104.88,1,366
74,2,351.47,312.36,114.23,109.05,1,371
75,5,807.63,180.04,42.40,75.36,1,376
75,2,355.49,312.15,118.48,112.04,1,376
76,5,797.58,190.62,50.25,72.70,1,381
76,2,356.82,311.70,122.97,116.82,1,381
77,5,782.84,200.72,59.56,77.10,1,386
77,2,357.36,311.21,125.10,118.96,1,386
78,5,766.80,206.78,68.19,83.84,1,391
78,2,357.63,305.59,126.28,119.89,1,391
79,5,743.93,212.14,78.61,93.87,1,396
79,2,358.07,299.81,125.25,122.06,1,396
80,5,709.83,225.92,83.09,99.08,1,401
80,2,357.79,286.47,122.35,119.49,1,401
81,5,672.44,228.01,92.75,108.56,1,406
81,2,353.76,275.10,120.48,117.29,1,406
82,5,629.21,229.03,99.89,112.38,1,411
82,2,343.29,270.69,117.97,115.95,1,411
83,5,575.48,225.81,103.12,117.15,1,416
83,2,334.15,269.03,113.60,115.41,1,416
84,5,532.65,223.60,102.69,115.17,1,421
84,2,329.61,262.88,109.56,112.59,1,421
85,5,490.10,224.69,100.86,109.52,1,426
85,2,328.28,260.91,106.02,110.18,1,426
86,5,445.59,219.38,100.20,106.66,1,431
86,2,317.63,254.03,104.83,109.22,1,431
87,5,407.24,206.93,98.19,107.14,1,436
87,2,306.47,252.02,101.76,105.15,1,436
88,5,371.19,198.88,97.81,106.61,1,441
88,2,299.19,246.00,99.71,103.82,1,441
89,5,337.74,189.39,96.62,102.81,1,446
89,2,290.66,241.98,99.60,101.69,1,446
90,5,323.24,182.89,95.92,100.64,1,451
90,2,284.31,240.80,99.52,101.03,1,451
91,5,318.34,180.19,94.47,99.04,1,456
91,2,276.64,242.15,97.23,98.01,1,456
92,5,317.46,179.04,95.10,98.12,1,461
92,2,267.76,248.43,95.55,94.64,1,461
93,5,316.27,177.86,96.11,98.03,1,466
93,2,260.97,255.29,94.26,93.04,1,466
94,5,316.60,171.80,97.10,98.22,1,471
94,2,258.24,260.00,92.46,91.59,1,471
95,5,320.93,170.03,96.32,97.98,1,476
95,2,256.49,261.24,90.31,90.23,1,476
96,5,326.89,170.34,95.15,96.04,1,481
96,2,260.11,262.06,88.45,88.39,1,481
97,5,339.93,169.67,92.53,95.71,1,486
97,2,264.58,260.95,87.08,87.32,1,486
98,5,357.67,169.36,89.74,95.16,1,491
98,2,266.71,255.31,87.28,88.24,1,491
99,5,365.84,168.01,88.54,93.59,1,496
99,2,268.79,249.46,88.31,89.53,1,496
100,5,372.69,163.58,89.70,95.05,1,501
100,2,270.52,246.45,87.66,90.37,1,501
101,5,370.25,160.72,89.62,95.46,1,506
101,2,268.61,239.59,88.12,92.42,1,506
102,5,367.82,160.58,87.83,95.15,1,511
102,2,267.00,237.07,86.96,92.49,1,511
103,5,364.35,159.44,86.79,94.07,1,516
103,2,268.53,235.29,86.95,92.32,1,516
104,5,359.04,159.55,86.29,92.68,1,521
104,2,268.34,231.45,86.67,92.19,1,521
105,5,356.39,160.55,86.47,91.65,1,526
105,2,268.10,228.11,87.02,92.12,1,526
106,5,358.45,161.27,86.03,90.03,1,531
106,2,271.73,227.86,86.99,91.50,1,531
107,5,372.74,159.43,87.27,93.08,1,536
107,2,272.51,226.73,86.97,90.21,1,536
108,5,388.44,158.04,89.68,93.09,1,541
108,2,274.34,225.93,87.22,89.29,1,541
109,5,413.47,160.11,89.19,93.86,1,546
109,2,276.14,227.91,87.12,87.77,1,546
110,5,441.23,156.24,91.68,95.69,1,551
110,2,276.40,227.86,87.32,86.97,1,551
111,5,458.68,156.89,91.74,95.48,1,556
111,2,273.78,227.52,90.24,86.75,1,556
112,5,467.60,159.74,91.48,94.18,1,561
112,2,274.04,229.46,93.45,89.82,1,561
113,5,476.73,165.19,91.32,95.45,1,566
113,2,282.17,230.72,93.64,89.37,1,566
114,5,483.95,166.07,92.56,99.65,1,571
114,2,291.38,227.20,93.22,88.77,1,571
115,5,492.58,168.24,92.65,100.83,1,576
115,2,296.22,220.83,94.89,89.51,1,576
116,5,509.29,175.61,96.77,104.48,1,581
116,2,302.17,210.90,95.04,90.55,1,581
117,5,534.70,184.43,101.57,109.45,1,586
117,2,309.90,204.49,97.08,94.39,1,586
118,5,571.54,192.17,102.05,111.58,1,591
118,2,325.29,206.51,100.23,98.19,1,591
119,5,610.49,202.13,105.18,113.86,1,596
119,2,347.27,214.56,104.86,100.24,1,596
120,5,645.89,211.99,107.42,115.44,1,601
120,2,361.05,216.69,105.22,102.29,1,601
121,5,681.87,217.89,105.94,115.38,1,606
121,2,371.49,218.07,106.95,105.25,1,606
122,5,727.99,217.59,105.97,115.61,1,611
122,2,383.41,222.69,110.18,108.66,1,611
123,5,759.10,230.41,99.09,117.62,1,616
123,2,398.54,232.58,111.94,111.31,1,616
124,2,417.66,249.13,115.37,112.80,1,621
125,2,442.27,266.33,123.84,116.84,1,626
126,2,469.54,287.40,127.75,122.40,1,631
127,2,505.09,305.57,124.44,123.42,1,636
136,6,733.03,200.67,109.55,124.70,1,681
137,6,719.60,202.85,110.49,124.15,1,686
138,6,713.13,207.52,108.02,122.62,1,691
139,6,712.82,214.65,107.89,119.96,1,696
140,6,727.05,235.95,106.41,117.85,1,701
141,6,736.10,259.33,105.36,115.79,1,706
141,2,540.50,324.98,120.40,122.53,1,706
142,6,741.30,268.91,104.09,114.64,1,711
142,2,514.26,297.36,120.47,124.91,1,711
143,6,745.42,271.65,102.65,115.92,1,716
143,2,502.04,280.12,122.27,126.88,1,716
144,6,744.76,271.77,101.83,116.35,1,721
144,2,498.81,258.89,122.11,128.98,1,721
145,6,746.74,261.20,99.70,118.66,1,726
145,2,496.25,245.99,120.84,126.60,1,726
146,2,490.48,225.06,120.23,123.44,1,731
147,2,480.62,208.86,119.73,121.46,1,736
148,2,466.12,197.50,114.41,115.93,1,741
149,2,441.72,187.88,109.22,109.95,1,746
150,2,426.62,177.69,103.56,105.61,1,751
151,2,407.00,166.13,100.20,101.63,1,756
152,2,387.95,157.90,96.51,99.27,1,761
153,2,373.60,154.57,93.58,96.12,1,766
154,2,358.38,140.66,91.10,96.66,1,771
155,2,340.61,136.56,90.64,95.76,1,776
156,2,329.25,132.73,88.67,94.03,1,781
157,2,321.57,130.95,88.85,93.28,1,786
158,2,320.57,131.24,88.45,91.62,1,791
159,2,322.84,132.07,87.59,90.71,1,796
160,2,329.49,130.25,88.07,91.16,1,801
